open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-14 01:00:00,105826.32,105826.33,105450.08,105524.05,591.71961,2025-06-14 01:29:59.999,62463064.66311310,50163,171.01156000,18053090.45081930,0
2025-06-14 01:30:00,105524.05,105584.15,105440.0,105470.35,606.40725,2025-06-14 01:59:59.999,63985365.68864260,52638,130.37836000,13756907.73416260,0
2025-06-14 02:00:00,105470.35,105611.67,105367.57,105384.77,171.42225,2025-06-14 02:29:59.999,18079678.84732190,27834,88.25572000,9308907.46199560,0
2025-06-14 02:30:00,105384.77,105423.57,105312.88,105374.17,117.23057,2025-06-14 02:59:59.999,12351032.63987560,20864,63.16974000,6655078.15492130,0
2025-06-14 03:00:00,105374.18,105385.78,105246.04,105352.94,126.85138,2025-06-14 03:29:59.999,13357516.21489400,23562,55.46279000,5840126.68210550,0
2025-06-14 03:30:00,105352.95,105440.0,105197.96,105228.82,132.34847,2025-06-14 03:59:59.999,13935593.54280330,25980,55.68419000,5863115.99325480,0
2025-06-14 04:00:00,105228.83,105384.99,105212.09,105339.97,131.51234,2025-06-14 04:29:59.999,13848502.84082650,22528,64.86117000,6829989.29448630,0
2025-06-14 04:30:00,105339.98,105397.06,105276.29,105371.07,84.74824,2025-06-14 04:59:59.999,8927288.93367250,16660,47.64276000,5018443.42732150,0
2025-06-14 05:00:00,105371.08,105397.06,105265.32,105313.35,122.00894,2025-06-14 05:29:59.999,12849217.44308680,16228,52.51193000,5530315.49575990,0
2025-06-14 05:30:00,105313.36,105363.06,105233.95,105288.3,83.14544,2025-06-14 05:59:59.999,8755003.81672570,15854,42.35963000,4460741.88401660,0
2025-06-14 06:00:00,105288.3,105321.82,105110.25,105161.43,142.29377,2025-06-14 06:29:59.999,14971683.29563650,22446,65.71177000,6913558.61962490,0
2025-06-14 06:30:00,105161.42,105216.97,105105.13,105105.13,78.93742,2025-06-14 06:59:59.999,8300665.57998860,14739,32.46476000,3413762.05192670,0
2025-06-14 07:00:00,105105.14,105105.14,104792.98,104985.5,210.81798,2025-06-14 07:29:59.999,22126338.11559660,33848,81.67008000,8570566.49012540,0
2025-06-14 07:30:00,104985.51,105144.57,104981.03,105076.59,149.21664,2025-06-14 07:59:59.999,15680007.24397680,20873,70.74105000,7433408.16916780,0
2025-06-14 08:00:00,105076.59,105102.94,104871.06,105006.84,132.43936,2025-06-14 08:29:59.999,13898825.83301760,22383,55.60401000,5835301.29679110,0
2025-06-14 08:30:00,105006.84,105132.36,104873.62,105095.03,82.9062,2025-06-14 08:59:59.999,8708446.71666570,18912,40.28511000,4231307.56740110,0
